Age,Gender,Daily_Steps,Resting_Heart_Rate,Active_Heart_Rate,Hours_of_Sleep,Daily_Calorie_Intake,Stress_Level,Sleep_Quality,Daily_Activity_Type,Mood
40.0,,13116.0,61.0,136.0,9.7,4000.0,3.0,80.0,Intense,Sad
33.0,Female,1138.0,57.0,112.0,4.9,1677.0,9.0,54.0,Sedentary,Neutral
42.0,Male,10742.0,62.0,140.0,5.5,4000.0,8.0,60.0,Sedentary,Neutral
53.0,Male,12092.0,65.0,128.0,6.5,4000.0,2.0,94.0,Sedentary,Neutral
32.0,Female,12519.0,56.0,105.0,6.5,4000.0,9.0,57.0,Sedentary,Neutral
32.0,Male,8230.0,70.0,132.0,6.0,4000.0,6.0,66.0,Sedentary,Sad
53.0,Female,9698.0,58.0,137.0,7.5,4000.0,6.0,74.0,Intense,Happy
44.0,Female,5848.0,53.0,139.0,7.9,3150.0,9.0,62.0,Sedentary,Neutral
29.0,Male,8075.0,54.0,100.0,7.9,3836.0,7.0,61.0,Sedentary,Happy
41.0,Male,7507.0,61.0,123.0,8.3,3750.0,6.0,64.0,Moderate,Neutral
29.0,Male,7334.0,69.0,153.0,6.9,3713.0,5.0,74.0,Sedentary,Happy
29.0,Female,11403.0,78.0,125.0,9.0,4000.0,4.0,80.0,Intense,Neutral
37.0,Male,8644.0,63.0,90.0,7.2,4000.0,3.0,85.0,Moderate,Neutral
18.0,Male,13079.0,67.0,129.0,4.5,4000.0,5.0,67.0,Sedentary,Neutral
18.0,Male,8743.0,64.0,134.0,6.4,4000.0,4.0,84.0,Sedentary,Happy
28.0,Male,14573.0,47.0,140.0,6.5,4000.0,0.0,98.0,Moderate,Happy
22.0,Female,11681.0,68.0,110.0,5.0,4000.0,5.0,74.0,Moderate,Sad
38.0,Male,7739.0,64.0,100.0,8.2,3672.0,6.0,73.0,Sedentary,Neutral
24.0,Female,8523.0,52.0,137.0,6.8,4000.0,7.0,70.0,Sedentary,Sad
18.0,Male,5480.0,78.0,118.0,3.6,3197.0,6.0,70.0,Intense,Happy
52.0,Male,8480.0,69.0,116.0,3.7,3873.0,9.0,55.0,Intense,Neutral
32.0,Female,5052.0,51.0,106.0,4.2,2848.0,5.0,71.0,Moderate,Happy
35.0,Female,11991.0,69.0,124.0,7.1,4000.0,10.0,58.0,Sedentary,Neutral
18.0,Female,6969.0,89.0,110.0,7.9,3587.0,10.0,59.0,Moderate,Neutral
28.0,Male,9066.0,,95.0,7.4,4000.0,0.0,100.0,,Neutral
,Male,1156.0,70.0,109.0,7.2,1740.0,7.0,65.0,Moderate,Neutral
21.0,Female,7198.0,60.0,109.0,5.4,3612.0,8.0,61.0,Sedentary,Happy
39.0,Female,6885.0,61.0,94.0,4.5,3622.0,5.0,69.0,Sedentary,Neutral
27.0,Female,10762.0,77.0,116.0,9.8,4000.0,6.0,72.0,Sedentary,Neutral
31.0,Female,9567.0,70.0,103.0,7.1,4000.0,5.0,77.0,Intense,Happy
27.0,Male,11054.0,73.0,115.0,7.1,4000.0,2.0,94.0,Sedentary,Neutral
57.0,Female,9327.0,63.0,126.0,8.2,4000.0,4.0,75.0,Sedentary,Happy
34.0,Female,11691.0,68.0,128.0,7.5,4000.0,9.0,48.0,Moderate,Happy
22.0,Male,9257.0,64.0,96.0,7.2,4000.0,2.0,93.0,Sedentary,Neutral
44.0,Male,3871.0,69.0,134.0,7.9,2645.0,2.0,94.0,Moderate,Sad
20.0,Female,7729.0,64.0,145.0,8.1,3842.0,3.0,80.0,Intense,Neutral
37.0,Male,7883.0,79.0,127.0,7.9,4000.0,8.0,62.0,Sedentary,Happy
18.0,Female,1000.0,63.0,144.0,5.1,1766.0,8.0,55.0,Sedentary,Neutral
19.0,Female,4950.0,68.0,126.0,7.8,2861.0,5.0,74.0,Moderate,Neutral
37.0,Female,14125.0,50.0,119.0,7.6,4000.0,8.0,63.0,Sedentary,Sad
43.0,Female,7176.0,74.0,112.0,7.8,3614.0,7.0,62.0,Moderate,Neutral
37.0,Female,7683.0,55.0,130.0,5.9,,8.0,57.0,Intense,Neutral
33.0,Male,1464.0,59.0,100.0,5.7,2017.0,1.0,98.0,Moderate,Sad
31.0,Female,3958.0,55.0,129.0,5.0,2594.0,8.0,55.0,Intense,Neutral
18.0,Male,9453.0,53.0,144.0,7.2,4000.0,2.0,86.0,Moderate,Neutral
26.0,Male,6605.0,72.0,127.0,6.3,3416.0,5.0,72.0,Moderate,Neutral
